#OTU ID,19.0,20.0,19.0 C,20.0 C
Bacteria;Bacteroidetes;Ignavibacteria;OPB56;uncultured bacterium;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Chlamydiae;LD1-PA32;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa,0,0,0,0
Bacteria;Chlamydiae;LD1-PA32;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Chloroflexi;Anaerolineae;ADurb.Bin180;uncultured bacterium;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineaceae UCG-001;uncultured bacterium,0,0,0,0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea;uncultured bacterium,0,0,0,0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Pelolinea;uncultured Chloroflexi bacterium,0,0,0,0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured Chloroflexi bacterium,0,0,0,0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured soil bacterium,0,0,0,0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured,0,0,0,0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae,0,0,0,0
Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa,0,0,0,0
Bacteria;Chloroflexi;Anaerolineae;SBR1031;uncultured bacterium;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Chloroflexi;Anaerolineae;SJA-15;uncultured bacterium;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Roseiflexaceae;uncultured;uncultured Roseiflexus sp.,38,0,14,10
Bacteria;Chloroflexi;Dehalococcoidia;GIF3;uncultured bacterium;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Chloroflexi;Dehalococcoidia;GIF9;uncultured bacterium;uncultured bacterium;uncultured bacterium,8,3,30,0
Bacteria;Chloroflexi;SL56 marine group;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium,226,0,18,0
Bacteria;Cloacimonetes;Cloacimonadia;Cloacimonadales;MSBL8;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;uncultured organism;uncultured organism;uncultured organism,0,0,0,120
Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium PCC-6307;uncultured bacterium,42,2522,38,4121
Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium PCC-6307,719,70,2142,23
Bacteria;Dependentiae;Babeliae;Babeliales;Babeliaceae;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Dependentiae;Babeliae;Babeliales;uncultured bacterium;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Elusimicrobia;Elusimicrobia;Lineage IV;uncultured bacterium;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Elusimicrobia;Elusimicrobia;MVP-88;uncultured bacterium;uncultured bacterium;uncultured bacterium,0,3,0,13
Bacteria;Elusimicrobia;Rs-M47,0,3,0,0
Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum,0,0,0,0
Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfuricurvum;uncultured bacterium,0,0,0,0
Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas,0,5,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Vulcanibacillus;uncultured bacterium,0,8,0,7
Bacteria;Firmicutes;Bacilli;Bacillales;Family XII;Exiguobacterium;Ambiguous_taxa,378,0,6509,13
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;uncultured bacterium,0,0,0,0
